Order ID,Order Date,Customer Name,Region,State,City,Category,Sub Category,Product Name,Sales,Profit,Quantity,Discount
CA-2024-10002,2024-09-24,Leo Harris,Central,Texas,Houston,Office Supplies,Binders,Heavy-Duty Presentation Folder,187.94,92.23,7,0.0
CA-2024-10002,2024-01-09,Karen White,Central,Illinois,Chicago,Furniture,Tables,Standing Desk Birch Wood,2180.63,-62.6,11,0.5
CA-2025-10002,2025-07-19,Karen White,East,Pennsylvania,Philadelphia,Office Supplies,Paper,Recycled Notepad Pack,74.14,44.29,8,0.0
CA-2025-10003,2025-10-11,Mia Martin,West,California,San Francisco,Office Supplies,Binders,Zipper Binder Pouch,59.05,25.06,1,0.0
CA-2025-10003,2025-11-25,Nathan Clark,South,Georgia,Atlanta,Office Supplies,Appliances,Air Purifier,412.86,152.98,11,0.0
CA-2024-10003,2024-11-19,Ivy Anderson,West,California,San Francisco,Technology,Machines,Laminator Core,3304.71,1383.11,8,0.2
CA-2024-10004,2024-12-28,Emily Davis,South,Georgia,Atlanta,Furniture,Furnishings,LED Desk Lamp,521.64,0.3,3,0.5
CA-2024-10004,2024-12-28,Emily Davis,South,Georgia,Atlanta,Furniture,Furnishings,LED Desk Lamp,521.64,0.3,3,0.5
CA-2024-10004,2024-07-16,,South,North Carolina,Charlotte,Furniture,Chairs,Leather Executive High-Back Chair,2576.44,-33.42,10,0.15
CA-2024-10004,2024-08-11,Henry Wilson,West,California,Los Angeles,Technology,Accessories,Noise-Cancelling Headphones,7036.39,2890.17,11,0.0
CA-2025-10005,2025-06-24,Frank Miller,West,California,Los Angeles,Technology,Accessories,Noise-Cancelling Headphones,1347.94,476.43,4,0.2
CA-2025-10005,2025-07-25,Jack Thomas,East,New York,New York City,Furniture,Bookcases,Corner Display Cabinet,1937.74,30.74,7,0.3
CA-2024-10005,2024-03-18,David Chen,West,California,Los Angeles,Technology,Machines,Laminator Core,152.57,45.66,1,0.2
CA-2024-10006,2024-10-13,Leo Harris,West,Washington,Seattle,Office Supplies,Binders,Heavy-Duty Presentation Folder,432.03,153.83,7,0.0
CA-2025-10006,2025-08-09,Karen White,Central,Texas,Houston,Furniture,Chairs,Stool Adjustable Height,224.33,4.05,1,0.15
CA-2024-10006,2024-07-29,Mia Martin,West,California,Los Angeles,Furniture,Bookcases,Corner Display Cabinet,403.32,11.18,2,0.0
CA-2025-10007,2025-06-27,Alice Smith,West,California,San Francisco,Office Supplies,Appliances,Countertop Microwave,337.29,198.14,6,0.0
CA-2025-10007,2025-01-01,Frank Miller,South,North Carolina,Charlotte,Office Supplies,Binders,Zipper Binder Pouch,312.31,146.04,12,0.0
CA-2025-10007,2025-09-07,Carol Martinez,West,California,Los Angeles,Technology,Accessories,Wireless Mouse,2908.35,560.94,9,0.0
CA-2024-10008,2024-09-11,Emily Davis,East,Massachusetts,Boston,Technology,Phones,OnePlus 11,7306.82,2577.76,12,0.0
CA-2024-10008,2024-03-15,Henry Wilson,Central,Texas,Houston,Technology,Copiers,Canon ImageRUNNER,3035.63,766.61,4,0.0
CA-2025-10008,2025-06-27,Nathan Clark,West,Washington,Seattle,Furniture,Bookcases,4-Shelf Wood Bookcase,1389.27,44.2,11,0.5
CA-2025-10009,2025-02-04,Jack Thomas,East,Massachusetts,Boston,Office Supplies,Appliances,Air Purifier,64.62,36.45,5,0.0
CA-2025-10009,2025-05-10,Leo Harris,East,Pennsylvania,Philadelphia,Office Supplies,Art,Acrylic Paint Set,828.33,358.15,12,0.0
CA-2024-10009,2024-08-17,Jack Thomas,West,California,Los Angeles,Technology,Phones,iPhone 14,787.41,302.23,3,0.0
CA-2025-10010,2025-08-14,Emily Davis,West,California,Los Angeles,Office Supplies,Paper,Premium Copy Paper A4,207.9,104.54,3,0.0
CA-2025-10010,2025-03-15,David Chen,East,Massachusetts,Boston,Technology,Machines,Heavy-Duty Shredder,1041.52,208.07,2,0.1
CA-2024-10010,2024-06-09,Bob Johnson,Central,Texas,Austin,Technology,Accessories,USB-C Hub,2637.63,745.56,4,0.0
CA-2024-10011,2024-02-01,Grace Taylor,East,New York,New York City,Technology,Copiers,HP LaserJet Pro,381.72,84.79,3,0.0
CA-2024-10011,2024-03-22,Emily Davis,South,North Carolina,Charlotte,Technology,Phones,iPhone 14,5601.4,1332.1,11,0.0
CA-2025-10011,2025-01-07,Jack Thomas,East,Pennsylvania,Philadelphia,Technology,Phones,iPhone 14,4520.64,1555.67,9,0.1
CA-2024-10012,2024-09-28,Leo Harris,South,Georgia,Atlanta,Furniture,Chairs,Leather Executive High-Back Chair,1099.06,-112.79,4,0.15
CA-2025-10012,2025-11-02,Karen White,East,Pennsylvania,Philadelphia,Technology,Accessories,USB-C Hub,590.17,262.04,1,0.0
CA-2025-10012,2025-11-24,Bob Johnson,East,Massachusetts,Boston,Furniture,Bookcases,Metal Storage Bookshelf,1617.96,-242.3,10,0.3
CA-2025-10013,2025-03-19,Emily Davis,East,Pennsylvania,Philadelphia,Furniture,Tables,Conference Room Table,2093.2,-173.63,9,0.0
CA-2024-10013,2024-03-02,Emily Davis,South,Georgia,Atlanta,Furniture,Furnishings,Anti-Fatigue Comfort Floor Mat,385.84,-2.39,6,0.5
CA-2025-10013,2025-09-04,Leo Harris,Central,Texas,Austin,Furniture,Bookcases,Corner Display Cabinet,2222.51,80.68,11,0.5
CA-2025-10014,2025-06-20,Ivy Anderson,West,California,San Francisco,Technology,Phones,Google Pixel 7,1600.26,635.04,3,0.0
CA-2025-10014,2025-06-05,Carol Martinez,West,Washington,Seattle,Furniture,Furnishings,Desk Organizer Organizer Tray,668.43,-90.45,2,0.0
